"route_id,agency_id,""route_short_name"",""route_long_name"",""route_desc"",route_type,""route_url"",""route_color"",""route_text_color"""
"48958,1,""25"",""Brugge centrum-station-St.Michiels-St.Andries"",""St.-Andries-St.-Michiels-Station/Centrum (Stadsschouwburg)-Station-St.-Michiels-St.-Andries"",3,"""",""229922"",""FFFFFF"""
"48960,1,""27"",""Brugge Station-Kinepolis-Loppem"",""Loppem - Kinepolis - Brugge Station/Brugge Station - Kinepolis - Loppem"",3,"""",""8899AA"",""000000"""
"48961,1,""31"",""Brugge-Wenduine-De Haan"",""De Haan - Wenduine - Brugge/Brugge -  Wenduine - De Haan"",3,"""",""0099AA"",""000000"""
"48964,1,""43"",""Brugge-Damme-Oostkerke"",""Brugge - Damme - Oostkerke/Oostkerke - Damme - Brugge"",3,"""",""EE8822"",""FFFFFF"""
"48965,1,""52"",""Brugge-Jabbeke-Gistel-Oostende"",""Oostende-Gistel-Jabbeke-Brugge/Brugge-Jabbeke-Gistel-Oostende"",3,"""",""995511"",""FFFFFF"""
"48966,1,""53"",""Brugge-Jabbeke"",""Jabbeke-Brugge/Brugge - Jabbeke"",3,"""",""BB0022"",""FFFFFF"""
"48967,1,""55"",""Brugge-Leke"",""Leke - Brugge/Brugge - Leke"",3,"""",""229922"",""FFFFFF"""
"48968,1,""62"",""Brugge-Moerkerke-Middelburg"",""Brugge - Moerkerke - Middelburg/Middelburg - Moerkerke - Brugge"",3,"""",""AACCEE"",""000000"""
"48969,1,""63"",""Brugge-Beernem-Knesselare (Ursel)"",""Brugge - Beernem - Knesselare (Ursel)/Knesselare (Ursel) - Beernem - Brugge"",3,"""",""BB0022"",""FFFFFF"""
"48970,1,""72"",""Brugge-Loppem-Zedelgem"",""Zedelgem - Loppem - Brugge/Brugge - Loppem - Zedelgem"",3,"""",""FF88AA"",""000000"""
"48974,1,""88"",""Avondlijn Sint-Michiels-Kinepolis"",""Avondlijn Kinepolis - Sint-Michiels - Station/Avondlijn Station - Sint-Michiels - Kinepolis"",3,"""",""0099AA"",""000000"""
"48975,1,""89"",""Avondlijn  Sint-Andries - AZ Sint-jan"",""Avondlijn AZ Sint-Jan - Sint-Andries - Station/Avondlijn  Station - Sint-Andries - AZ Sint-jan"",3,"""",""FFCC11"",""000000"""
"48976,1,""90"",""Avondlijn koolkerke-dudzele"",""Avondlijn  Dudzele - Koolkerke - St.-Jozef-Centrum- Station/Avondlijn Station - Centrum - St.-Jozef -Koolkerke - Dudzele"",3,"""",""BB0022"",""FFFFFF"""
"48977,1,""91"",""Avondlijn AZ St-Lucas"",""Avondlijn Assebroek (AZ St-Lucas)-St.-Kruis-Centrum-Station/Avondlijn Station-Centrum-St.-Kruis-Assebroek(AZ St-Lucas)"",3,"""",""EE8822"",""FFFFFF"""
